rental_id,user,start_station,end_station,start_time,end_time,duration_min,cost_gtq
93a7301f-0415-417d-9eb7-0437d736fc77,valeria,S1,S1,2026-04-18T19:06:45Z,2026-04-18T19:06:50Z,0.08,1.0
fde96eaf-3977-4cc8-b69b-5a7d81ec820e,valeria,S1,S1,2026-04-18T19:33:49Z,2026-04-18T19:33:53Z,0.07,1.0
1dea2d99-b3d1-4f8b-bc15-698bedf81326,valeria,S1,S1,2026-04-18T19:40:47Z,2026-04-18T19:41:05Z,0.3,1.0
0f352021-ee12-4ce2-8db5-1ec6d7c0609d,valeria,S1,S1,2026-04-18T19:50:53Z,2026-04-18T19:50:57Z,0.07,1.0
7da9006e-ca2f-498c-84c4-b589edeac395,valeria,S1,S1,2026-04-18T20:33:50Z,2026-04-18T20:33:54Z,0.07,1.0
62fed164-0c60-4b18-b61b-c1023eba8928,valeria,S1,S1,2026-04-21T16:55:55Z,2026-04-22T21:05:46Z,1689.85,1689.85
c702584c-9293-4734-8647-d1d0df348ac9,valeria,S1,S1,2026-04-24T21:57:33Z,2026-04-24T22:29:23Z,31.83,31.83
e1ab7b29-d8cd-4754-8593-be62da143459,valeria,S1,S1,2026-04-24T22:40:38Z,2026-04-25T23:20:49Z,1480.18,1480.18
4818c575-8709-4e98-885c-4133c6c6c366,valeria,S1,S1,2026-04-25T23:24:02Z,2026-04-25T23:30:53Z,6.85,6.85
4e65f26a-0147-4e30-b3be-0c5da1da3ebe,valeria,S1,S1,2026-04-26T00:11:19Z,2026-04-26T00:38:14Z,26.92,26.92
f90045f4-e6a8-43c0-a10c-5753f351c79b,valeria,S1,S1,2026-04-26T00:40:15Z,2026-04-26T00:51:26Z,11.18,11.18
0b1a2adb-a9da-4080-88bb-20aa6d339a38,valeria,S1,S1,2026-04-26T00:52:37Z,2026-04-26T00:52:57Z,0.33,1.0
f416cf3b-cbb6-4e38-b746-3679279c0e35,valeria,S1,S1,2026-04-28T18:54:31Z,2026-04-28T19:03:47Z,9.27,9.27
